Data Analisi;Gran Grup;Llista_Pre;Intervencions_Pre;Derivades_Pre;En llista;Intervencions;IQs derivades i realitzades a UP desti;En baixa temporal;IQs en baixa temporal;Intervencions fora termini;n;Sortides;Dies en llista;Dies en llista (sense BT);ED0-25;ED100+;ED26-50;ED51-75;ED76-100;EE0-25;EE100+;EE26-50;EE51-75;EE76-100
01/06/2022;5;5468;337;5621;5468;337;5621;205;223;45;25890;573;7030204;6884902;367;650;284;190;140;10;14;7;4;10
01/07/2022;1;77;49;86;77;49;86;12;13;3;2456;54;73203;65568;11;19;3;3;3;4;0;0;0;0
01/07/2022;2;31;5;41;31;5;41;5;5;4;496;6;26630;23222;4;1;1;4;6;1;0;1;2;0
01/07/2022;3;19;7;0;19;7;0;1;1;0;321;9;10798;10508;0;0;0;0;0;0;0;0;0;0
01/07/2022;4;719;12;1637;719;12;1637;18;19;5;3583;28;726552;695362;39;35;29;20;9;2;0;1;1;1
01/07/2022;5;5608;292;5835;5608;292;5835;208;227;19;26210;497;7101358;6951300;397;673;326;180;144;4;6;2;2;5
01/08/2022;1;69;74;82;69;74;82;23;24;10;2516;80;74865;65897;1;10;3;4;2;4;2;3;4;0
01/08/2022;2;28;15;39;28;15;39;10;10;9;509;18;27349;23614;2;4;4;1;0;2;3;1;1;2
01/08/2022;3;16;6;0;16;6;0;2;2;0;319;7;11204;10877;0;0;0;0;0;0;0;0;0;0
01/08/2022;4;675;5;1669;675;5;1669;40;48;1;3631;28;748198;716900;80;23;22;17;6;0;1;0;0;0
01/08/2022;5;5591;312;5904;5591;312;5904;168;180;40;26659;572;7203176;7049693;334;615;303;206;151;17;14;3;5;1
01/09/2022;1;72;81;83;72;81;83;18;18;9;2527;89;73689;64327;3;5;2;1;0;2;2;1;4;1
01/09/2022;2;19;18;43;19;18;43;4;4;10;494;18;26961;23024;0;0;0;1;0;2;4;2;1;1
01/09/2022;3;19;9;0;19;9;0;1;1;3;321;9;11577;11198;1;0;0;0;0;3;0;0;0;0
01/09/2022;4;658;13;1739;658;13;1739;30;37;4;3694;34;762956;731190;98;15;40;20;9;1;0;1;0;2
01/09/2022;5;5704;361;6102;5704;361;6102;122;133;69;27282;640;7294501;7139883;328;590;293;209;145;16;22;13;14;4
01/10/2022;1;88;78;79;88;78;79;9;9;4;2506;80;74409;64693;8;7;4;2;1;3;1;3;0;0
01/10/2022;2;14;13;44;14;13;44;3;3;4;480;13;26386;22272;1;0;4;0;0;3;0;1;0;0
01/10/2022;3;13;14;0;13;14;0;1;1;5;317;15;11743;11348;1;0;0;0;0;5;0;0;0;0
01/10/2022;4;658;53;1814;658;53;1814;32;39;25;3759;71;769165;737328;97;16;61;16;7;11;3;7;2;2
01/10/2022;5;5671;420;6018;5671;420;6018;133;158;73;27406;718;7242541;7088748;334;574;275;216;128;19;21;10;15;8
01/11/2022;1;74;108;80;74;108;80;15;15;5;2522;113;74836;64528;3;6;2;2;0;6;2;1;1;1
01/11/2022;2;7;13;53;7;13;53;5;5;5;478;14;25957;21980;0;0;0;1;0;1;0;0;3;1
01/11/2022;3;10;16;0;10;16;0;1;1;0;325;19;11959;11531;0;0;0;0;0;0;0;0;0;0
01/11/2022;4;679;39;1890;679;39;1890;35;60;23;3870;61;791157;758759;73;25;70;28;6;5;1;11;3;3
01/11/2022;5;5701;475;6207;5701;475;6207;151;185;51;28120;783;7341385;7185378;356;580;212;201;138;13;15;11;7;5
01/12/2022;1;66;75;81;66;75;81;14;14;7;2505;83;74761;64119;1;7;4;1;0;3;0;4;1;0
01/12/2022;2;5;15;54;5;15;54;6;6;2;481;17;25780;21656;0;0;0;0;0;0;0;0;1;1
01/12/2022;3;11;9;0;11;9;0;1;1;0;322;9;11695;11218;0;0;0;0;0;0;0;0;0;0
01/12/2022;4;669;20;1664;669;20;1664;69;93;13;3649;35;737210;705756;63;17;48;33;15;5;0;5;3;0
01/12/2022;5;5753;302;5465;5753;302;5465;140;174;29;27508;477;7109715;6957311;336;603;225;204;155;14;5;7;3;0
